Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL,capacity_numeric
2024-05-14,Azerbaijan,Navai Original nuclear power plant,1,,,1000.0,cancelled,unknown,unknown,,,,1986.0,,,,,,,,,,,,,40.0161,49.1355,approximate,Navahi,,,Hajigabul District,Western Asia,Asia,L100000500383,G100000501050,https://www.gem.wiki/Navai_Original_nuclear_power_plant,1000.0
2025-07-09,Bangladesh,Rooppur nuclear power plant,1,,,1200.0,construction,pressurized water reactor,VVER V-523,2025.0,,,,2017-11-30,,,2025,,Bangladesh Atomic Energy Commission [100%],,Nuclear Power Plant Company Bangladesh,,1080.0,1080.0,3200.0,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L100000500091,G100000500177,https://www.gem.wiki/Rooppur_nuclear_power_plant,1200.0
2025-07-09,Bangladesh,Rooppur nuclear power plant,2,,,1200.0,construction,pressurized water reactor,VVER V-523,,,,,2018-07-14,,,,,Bangladesh Atomic Energy Commission [100%],,Nuclear Power Plant Company Bangladesh,,1080.0,1080.0,3200.0,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L100000500091,G100000500178,https://www.gem.wiki/Rooppur_nuclear_power_plant,1200.0
2024-05-08,Belarus,Astravets nuclear power plant,1,,Belarusian; Ostrovets,1194.0,operating,pressurized water reactor,VVER V-491,2021.0,,,,2013-11-08,2020-10-11,2020-11-03,2021-06-10,,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant"" [100%]",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,1110.0,1110.0,3200.0,54.7598,26.0937,exact,Varnianski sieĺski Saviet,Astravyets District,,Hrodna Region,Eastern Europe,Europe,L100000500085,G100000500159,https://www.gem.wiki/Astravets_nuclear_power_plant,1194.0
2024-05-08,Belarus,Astravets nuclear power plant,2,,Belarusian; Ostrovets,1194.0,operating,pressurized water reactor,VVER V-491,2023.0,,,,2014-04-27,2023-03-25,2023-05-13,2023-11-01,,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant"" [100%]",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,1110.0,1110.0,3200.0,54.7598,26.0937,exact,Varnianski sieĺski Saviet,Astravyets District,,Hrodna Region,Eastern Europe,Europe,L100000500085,G100000500179,https://www.gem.wiki/Astravets_nuclear_power_plant,1194.0
2024-05-08,Belarus,Minsk nuclear power plant,1,,,1000.0,cancelled,pressurized water reactor,VVER V-1000,,,,1988.0,1983,,,,,,,,,,,,53.7208,28.0445,approximate,Minsk,,,Minsk Region,Eastern Europe,Europe,L100000500384,G100000501051,https://www.gem.wiki/Minsk_nuclear_power_plant,1000.0
2024-05-08,Belarus,Minsk nuclear power plant,2,,,1000.0,cancelled,pressurized water reactor,VVER V-1000,,,,1988.0,1983,,,,,,,,,,,,53.7208,28.0445,approximate,Minsk,,,Minsk Region,Eastern Europe,Europe,L100000500384,G100000501052,https://www.gem.wiki/Minsk_nuclear_power_plant,1000.0
2024-05-08,Belgium,BR3 nuclear power plant,3,,Belgian Reactor-3,12.0,retired,pressurized water reactor,Prototype,1962.0,1987.0,N,,1957-11-01,1962-08-29,1962-10-10,1962-10-10,1987-06-30,Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie [100%],,Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie,,10.0,11.0,41.0,51.2169,5.0998,exact,,Turnhout,,Antwerp,Western Europe,Europe,L100000500264,G100000500616,https://www.gem.wiki/BR3_nuclear_power_plant,12.0
2024-05-08,Belgium,Doel nuclear power plant,1,,,454.0,operating,pressurized water reactor,WH 2LP,1975.0,,,,1969-07-01,1974-07-18,1974-08-28,1975-02-15,,Indivision Doel [100%],,Engie Electrabel; EDF Belgium; EDF Luminus,,445.0,392.0,1311.0,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500499,https://www.gem.wiki/Doel_nuclear_power_plant,454.0
2024-05-08,Belgium,Doel nuclear power plant,2,,,454.0,operating,pressurized water reactor,WH 2LP,1975.0,,,,1971-09-01,1975-08-04,1975-08-21,1975-12-01,,Indivision Doel [100%],,Engie Electrabel; EDF Belgium; EDF Luminus,,445.0,445.0,1311.0,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500500,https://www.gem.wiki/Doel_nuclear_power_plant,454.0
2024-05-08,Belgium,Doel nuclear power plant,3,,,1056.0,retired,pressurized water reactor,WH 3LP,1982.0,2022.0,N,,1975-01-01,1982-06-14,1982-06-23,1982-10-01,2022-09-23,Societes Reunies D'Energie Du Bassin De L'Escaut SA [100%],,Engie Electrabel; EDF Belgium; EDF Luminus,,1006.0,890.0,3054.0,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500197,https://www.gem.wiki/Doel_nuclear_power_plant,1056.0
2025-07-03,Belgium,Doel nuclear power plant,4,,,1090.0,operating,pressurized water reactor,WH 3LP,1985.0,2035.0,Y,,1978-12-01,1985-03-31,1985-04-08,1985-07-01,2035,Societes Reunies D'Energie Du Bassin De L'Escaut SA [100%],,Engie Electrabel; EDF Belgium; EDF Luminus,,1038.0,1000.0,2988.0,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500234,https://www.gem.wiki/Doel_nuclear_power_plant,1090.0
2024-05-08,Belgium,Tihange nuclear power plant,1,,,1009.0,operating,pressurized water reactor,Framatome 3 loops reactor,1975.0,,,,1970-06-01,1975-02-21,1975-03-07,1975-10-01,,Engie Electrabel [100%],,Engie Electrabel,,962.0,870.0,2873.0,50.5334,5.2714,exact,,Huy,,Liège,Western Europe,Europe,L100000500099,G100000500257,https://www.gem.wiki/Tihange_nuclear_power_plant,1009.0
2024-05-08,Belgium,Tihange nuclear power plant,2,,,1055.0,retired,pressurized water reactor,WH 3LP,1983.0,2023.0,N,,1976-04-01,1982-10-05,1982-10-13,1983-06-01,2023-02-01,Engie Electrabel [100%],,Engie Electrabel,,1008.0,900.0,3064.0,50.5334,5.2714,exact,,Huy,,Liège,Western Europe,Europe,L100000500099,G100000500194,https://www.gem.wiki/Tihange_nuclear_power_plant,1055.0
2025-07-03,Belgium,Tihange nuclear power plant,3,,,1089.0,operating,pressurized water reactor,WH 3LP,1985.0,2035.0,Y,,1978-11-01,1985-06-05,1985-06-15,1985-09-01,2035,Engie Electrabel [100%],,Engie Electrabel,,1038.0,1020.0,3000.0,50.5334,5.2714,exact,,Huy,,Liège,Western Europe,Europe,L100000500099,G100000500205,https://www.gem.wiki/Tihange_nuclear_power_plant,1089.0
2024-05-14,Brazil,Angra nuclear power plant,1,,,640.0,operating,pressurized water reactor,WH 2LP,1985.0,,,,1971-05-01,1982-03-13,1982-04-01,1985-01-01,,Eletrobras Eletronuclear SA [100%],,Eletrobras Eletronuclear,,609.0,609.0,1882.0,-23.0069,-44.4585,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500402,https://www.gem.wiki/Angra_nuclear_power_plant,640.0
2024-05-14,Brazil,Angra nuclear power plant,2,,,1350.0,operating,pressurized water reactor,PRE KONVOI,2001.0,,,,1976-01-01,2000-07-14,2000-07-21,2001-02-01,,Eletrobras Eletronuclear SA [100%],,Eletrobras Eletronuclear,,1275.0,1245.0,3764.0,-23.0077,-44.4598,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500071,https://www.gem.wiki/Angra_nuclear_power_plant,1350.0
