region,generation_twh,avoided_emissions_mtco2,avoided_emissions_gtco2
Asia,40093.59582,28426359.436380003,28426.359436380004
Europe,34000.381158,19618219.928166,19618.219928166
Americas,19234.368792,12367699.133256,12367.699133256
Africa,1870.84692,1264692.51792,1264.69251792
