Country/Area,Region,Subregion,State/Province,Project Name,Unit Name,Status,Reactor Type,Model,capacity_numeric,capacity_factor,annual_generation_twh,Start Year,Retirement Year,Commercial Operation Date,Construction Start Date,Latitude,Longitude
China,Asia,Eastern Asia,Hunan,Xiangtan nuclear power plant,1,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,27.4469,112.8732
China,Asia,Eastern Asia,Hunan,Xiangtan nuclear power plant,2,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,27.4469,112.8732
China,Asia,Eastern Asia,Hunan,Xiangtan nuclear power plant,3,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,27.4469,112.8732
China,Asia,Eastern Asia,Hunan,Xiangtan nuclear power plant,4,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,27.4469,112.8732
China,Asia,Eastern Asia,Guangxi,Xiangzhou nuclear power plant,1-1,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,23.9968,109.6758
China,Asia,Eastern Asia,Guangxi,Xiangzhou nuclear power plant,1-2,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,23.9968,109.6758
China,Asia,Eastern Asia,Hubei,Xianning Dafan nuclear power plant,1,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.6574,114.67101
China,Asia,Eastern Asia,Hubei,Xianning Dafan nuclear power plant,2,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.6574,114.67101
China,Asia,Eastern Asia,Hubei,Xianning Dafan nuclear power plant,3,cancelled - inferred 4 y,pressurized water reactor,unknown,1250.0,0.85,9.3075,,,,,29.6574,114.67101
China,Asia,Eastern Asia,Hubei,Xianning Dafan nuclear power plant,4,cancelled - inferred 4 y,pressurized water reactor,unknown,1250.0,0.85,9.3075,,,,,29.6574,114.67101
China,Asia,Eastern Asia,Hunan,Xiaomoshan nuclear power plant,1,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.6197,112.7802
China,Asia,Eastern Asia,Hunan,Xiaomoshan nuclear power plant,2,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.6197,112.7802
China,Asia,Eastern Asia,Hunan,Xiaomoshan nuclear power plant,3,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.6197,112.7802
China,Asia,Eastern Asia,Hunan,Xiaomoshan nuclear power plant,4,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.6197,112.7802
China,Asia,Eastern Asia,Hunan,Xiaomoshan nuclear power plant,5,cancelled - inferred 4 y,pressurized water reactor,CAP1000,1250.0,0.85,9.3075,,,,,29.6197,112.7802
China,Asia,Eastern Asia,Hunan,Xiaomoshan nuclear power plant,6,cancelled - inferred 4 y,pressurized water reactor,CAP1000,1250.0,0.85,9.3075,,,,,29.6197,112.7802
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,1,construction,fast breeder reactor,CFR600,682.0,0.85,5.078172,,,,2017-12-29,26.801942,120.151957
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,2,construction,fast breeder reactor,CFR600,600.0,0.85,4.4676,2026.0,,2026,2020-12-27,26.801942,120.151957
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,3,pre-construction,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,26.801942,120.151957
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,4,pre-construction,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,26.801942,120.151957
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,5,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,26.801942,120.151957
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,6,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,26.801942,120.151957
China,Asia,Eastern Asia,Fujian,Xiapu nuclear power plant,HTR,announced,high temperature gas reactor,unknown,600.0,0.85,4.4676,,,,,26.801942,120.151957
China,Asia,Eastern Asia,Shandong,Xin'an nuclear power plant,1-1,announced,high temperature gas reactor,unknown,600.0,0.85,4.4676,,,,,36.6602,120.9928
China,Asia,Eastern Asia,Shandong,Xin'an nuclear power plant,1-2,announced,high temperature gas reactor,unknown,600.0,0.85,4.4676,,,,,36.6602,120.9928
China,Asia,Eastern Asia,Henan,Xinyang nuclear power plant,1-1,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,32.1604,113.8731
China,Asia,Eastern Asia,Henan,Xinyang nuclear power plant,1-2,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,32.1604,113.8731
China,Asia,Eastern Asia,Henan,Xinyang nuclear power plant,2-3,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,32.1604,113.8731
China,Asia,Eastern Asia,Henan,Xinyang nuclear power plant,2-4,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,32.1604,113.8731
China,Asia,Eastern Asia,Hubei,Xishui nuclear power plant,1-1,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,30.43927,115.2666
China,Asia,Eastern Asia,Hubei,Xishui nuclear power plant,1-2,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,30.43927,115.2666
China,Asia,Eastern Asia,Hubei,Xishui nuclear power plant,3,cancelled - inferred 4 y,pressurized water reactor,unknown,1250.0,0.85,9.3075,,,,,30.43927,115.2666
China,Asia,Eastern Asia,Hubei,Xishui nuclear power plant,4,cancelled - inferred 4 y,pressurized water reactor,unknown,1250.0,0.85,9.3075,,,,,30.43927,115.2666
China,Asia,Eastern Asia,Anhui,Xuancheng nuclear power plant,1,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,30.9412,118.76101
China,Asia,Eastern Asia,Anhui,Xuancheng nuclear power plant,2,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,30.9412,118.76101
China,Asia,Eastern Asia,Anhui,Xuancheng nuclear power plant,3,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,30.9412,118.76101
China,Asia,Eastern Asia,Anhui,Xuancheng nuclear power plant,4,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,30.9412,118.76101
China,Asia,Eastern Asia,Liaoning,Xudapu nuclear power plant,1-1,construction,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,2028.0,,2028,2023-11-15,40.352824,120.548637
China,Asia,Eastern Asia,Liaoning,Xudapu nuclear power plant,1-2,construction,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,2029.0,,2029,2024-07-17,40.352824,120.548637
China,Asia,Eastern Asia,Liaoning,Xudapu nuclear power plant,2-3,construction,pressurized water reactor,VVER-1200/V-491,1274.0,0.85,9.486204,,,,2021-05-01,40.352824,120.548637
China,Asia,Eastern Asia,Liaoning,Xudapu nuclear power plant,2-4,construction,pressurized water reactor,VVER-1200/V-491,1274.0,0.85,9.486204,,,,2021-05-01,40.352824,120.548637
China,Asia,Eastern Asia,Liaoning,Xudapu nuclear power plant,3-5,announced,pressurized water reactor,unknown,1250.0,0.85,9.3075,,,,,40.352824,120.548637
China,Asia,Eastern Asia,Liaoning,Xudapu nuclear power plant,3-6,announced,pressurized water reactor,unknown,1250.0,0.85,9.3075,,,,,40.352824,120.548637
China,Asia,Eastern Asia,Guangdong,Yangjiang nuclear power plant,1,operating,pressurized water reactor,CPR-1000,1086.0,0.9,8.562024,2014.0,,2014-03-25,2008,21.7092,112.2607
China,Asia,Eastern Asia,Guangdong,Yangjiang nuclear power plant,2,operating,pressurized water reactor,CPR-1000,1086.0,0.9,8.562024,2015.0,,2015-06-05,2009,21.7092,112.2607
China,Asia,Eastern Asia,Guangdong,Yangjiang nuclear power plant,3,operating,pressurized water reactor,CPR-1000,1086.0,0.9,8.562024,2016.0,,2016-01-01,2010-11-15,21.7092,112.2607
China,Asia,Eastern Asia,Guangdong,Yangjiang nuclear power plant,4,operating,pressurized water reactor,CPR-1000,1086.0,0.9,8.562024,2017.0,,2017-03-15,2012-11-17,21.7092,112.2607
China,Asia,Eastern Asia,Guangdong,Yangjiang nuclear power plant,5,operating,pressurized water reactor,ACPR-1000,1086.0,0.9,8.562024,2018.0,,2018-07-12,2013-09-18,21.7092,112.2607
China,Asia,Eastern Asia,Guangdong,Yangjiang nuclear power plant,6,operating,pressurized water reactor,ACPR-1000,1086.0,0.9,8.562024,2019.0,,2019-07-24,2013-12-23,21.7092,112.2607
China,Asia,Eastern Asia,Guangdong,Yangxi nuclear power plant,1-1,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,21.7516,111.6413
China,Asia,Eastern Asia,Guangdong,Yangxi nuclear power plant,1-2,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,21.7516,111.6413
China,Asia,Eastern Asia,Guangdong,Yangxi nuclear power plant,3,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,21.7516,111.6413
China,Asia,Eastern Asia,Guangdong,Yangxi nuclear power plant,4,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,21.7516,111.6413
China,Asia,Eastern Asia,Guangdong,Yangxi nuclear power plant,5,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,21.7516,111.6413
China,Asia,Eastern Asia,Guangdong,Yangxi nuclear power plant,6,cancelled - inferred 4 y,unknown,unknown,1000.0,0.85,7.446,,,,,21.7516,111.6413
China,Asia,Eastern Asia,Jiangxi,Yanjiashan nuclear power plant,1-1,cancelled - inferred 4 y,unknown,unknown,1250.0,0.85,9.3075,,,,,26.6527,114.7901
China,Asia,Eastern Asia,Jiangxi,Yanjiashan nuclear power plant,1-2,cancelled - inferred 4 y,unknown,unknown,1250.0,0.85,9.3075,,,,,26.6527,114.7901
China,Asia,Eastern Asia,Sichuan,Yibin Beijiang nuclear power plant,1,cancelled - inferred 4 y,pressurized heavy water reactor,CAP1000,1250.0,0.85,9.3075,,,,,28.924659,104.265012
China,Asia,Eastern Asia,Sichuan,Yibin Beijiang nuclear power plant,2,cancelled - inferred 4 y,pressurized heavy water reactor,CAP1000,1250.0,0.85,9.3075,,,,,28.924659,104.265012
China,Asia,Eastern Asia,Jiangxi,Yingtan nuclear power plant,1-1,cancelled - inferred 4 y,pressurized water reactor,CAP1000,1250.0,0.85,9.3075,,,,,28.26801,117.0672
China,Asia,Eastern Asia,Jiangxi,Yingtan nuclear power plant,1-2,cancelled - inferred 4 y,pressurized water reactor,CAP1000,1250.0,0.85,9.3075,,,,,28.26801,117.0672
China,Asia,Eastern Asia,Jiangxi,Yingtan nuclear power plant,3,cancelled - inferred 4 y,pressurized water reactor,CAP1000,1250.0,0.85,9.3075,,,,,28.26801,117.0672
China,Asia,Eastern Asia,Jiangxi,Yingtan nuclear power plant,4,cancelled - inferred 4 y,pressurized water reactor,CAP1000,1250.0,0.85,9.3075,,,,,28.26801,117.0672
China,Asia,Eastern Asia,Fujian,Zhangzhou nuclear power plant,1-1,operating,pressurized water reactor,HPR-1000,1212.0,0.9,9.555408,2025.0,,2025-01-01,2019-10-16,23.828923,117.494944
China,Asia,Eastern Asia,Fujian,Zhangzhou nuclear power plant,1-2,construction,pressurized water reactor,HPR-1000,1212.0,0.85,9.024552,2025.0,,2025,2020-09-04,23.828923,117.494944
China,Asia,Eastern Asia,Fujian,Zhangzhou nuclear power plant,2-3,construction,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,2028.0,,2028,2024-02-22,23.828923,117.494944
China,Asia,Eastern Asia,Fujian,Zhangzhou nuclear power plant,2-4,construction,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,2029.0,,2029,2024-09-27,23.828923,117.494944
China,Asia,Eastern Asia,Fujian,Zhangzhou nuclear power plant,3-5,announced,pressurized water reactor,unknown,1150.0,0.85,8.5629,,,,,23.828923,117.494944
China,Asia,Eastern Asia,Fujian,Zhangzhou nuclear power plant,3-6,announced,pressurized water reactor,unknown,1150.0,0.85,8.5629,,,,,23.828923,117.494944
China,Asia,Eastern Asia,Guangdong,Zhaoqing nuclear power plant,1,cancelled - inferred 4 y,unknown,AP-1000,1750.0,0.85,13.0305,,,,,23.1617,111.8508
China,Asia,Eastern Asia,Guangdong,Zhaoqing nuclear power plant,2,cancelled - inferred 4 y,unknown,AP-1000,1750.0,0.85,13.0305,,,,,23.1617,111.8508
China,Asia,Eastern Asia,Guangdong,Zhaoqing nuclear power plant,3,cancelled - inferred 4 y,unknown,AP-1000,1750.0,0.85,13.0305,,,,,23.1617,111.8508
China,Asia,Eastern Asia,Guangdong,Zhaoqing nuclear power plant,4,cancelled - inferred 4 y,unknown,AP-1000,1750.0,0.85,13.0305,,,,,23.1617,111.8508
China,Asia,Eastern Asia,Shandong,Zhaoyuan nuclear power plant,1-1,pre-construction,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,37.4871,120.3453
China,Asia,Eastern Asia,Shandong,Zhaoyuan nuclear power plant,1-2,pre-construction,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,37.4871,120.3453
China,Asia,Eastern Asia,Shandong,Zhaoyuan nuclear power plant,2-3,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,37.4871,120.3453
China,Asia,Eastern Asia,Shandong,Zhaoyuan nuclear power plant,2-4,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,37.4871,120.3453
China,Asia,Eastern Asia,Shandong,Zhaoyuan nuclear power plant,3-5,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,37.4871,120.3453
China,Asia,Eastern Asia,Shandong,Zhaoyuan nuclear power plant,3-6,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,37.4871,120.3453
China,Asia,Eastern Asia,Chongqing,Zhong County nuclear power plant,1-1,cancelled - inferred 4 y,pressurized water reactor,unknown,1000.0,0.85,7.446,,,,,30.203828,107.936035
China,Asia,Eastern Asia,Chongqing,Zhong County nuclear power plant,1-2,cancelled - inferred 4 y,pressurized water reactor,unknown,1000.0,0.85,7.446,,,,,30.203828,107.936035
China,Asia,Eastern Asia,Chongqing,Zhong County nuclear power plant,2-1,cancelled - inferred 4 y,pressurized water reactor,unknown,1000.0,0.85,7.446,,,,,30.203828,107.936035
China,Asia,Eastern Asia,Chongqing,Zhong County nuclear power plant,2-2,cancelled - inferred 4 y,pressurized water reactor,unknown,1000.0,0.85,7.446,,,,,30.203828,107.936035
China,Asia,Eastern Asia,Hubei,Zhongxiang nuclear power plant,1-1,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,31.32101,112.4592
China,Asia,Eastern Asia,Hubei,Zhongxiang nuclear power plant,1-2,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,31.32101,112.4592
China,Asia,Eastern Asia,Hubei,Zhongxiang nuclear power plant,3,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,31.32101,112.4592
China,Asia,Eastern Asia,Hubei,Zhongxiang nuclear power plant,4,cancelled - inferred 4 y,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,31.32101,112.4592
China,Asia,Eastern Asia,Liaoning,Zhuanghe nuclear power plant,1-1,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,39.7144,123.1778
China,Asia,Eastern Asia,Liaoning,Zhuanghe nuclear power plant,1-2,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,39.7144,123.1778
China,Asia,Eastern Asia,Liaoning,Zhuanghe nuclear power plant,3,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,39.7144,123.1778
China,Asia,Eastern Asia,Liaoning,Zhuanghe nuclear power plant,4,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,39.7144,123.1778
China,Asia,Eastern Asia,Liaoning,Zhuanghe nuclear power plant,5,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,39.7144,123.1778
China,Asia,Eastern Asia,Liaoning,Zhuanghe nuclear power plant,6,announced,pressurized water reactor,HPR-1000,1150.0,0.85,8.5629,,,,,39.7144,123.1778
Cuba,Americas,Latin America and the Caribbean,Cienfuegos,Juragua nuclear power plant,1,cancelled,pressurized water reactor,VVER V-230,440.0,0.85,3.27624,,,,,22.0662,-80.5078
Cuba,Americas,Latin America and the Caribbean,Cienfuegos,Juragua nuclear power plant,2,cancelled,pressurized water reactor,VVER V-230,440.0,0.85,3.27624,,,,,22.0662,-80.5078
Czech Republic,Europe,Eastern Europe,,Dětmarovice nuclear power plant,--,announced,small modular reactor,unknown,300.0,0.85,2.2338,,,,,49.9065414,18.4707066
Czech Republic,Europe,Eastern Europe,Southeast,Dukovany nuclear power plant,1,operating,pressurized water reactor,VVER V-213,500.0,0.9,3.942,1985.0,2037.0,1985-05-03,1979-01-01,49.0852,16.1479
Czech Republic,Europe,Eastern Europe,Southeast,Dukovany nuclear power plant,2,operating,pressurized water reactor,VVER V-213,500.0,0.9,3.942,1986.0,2037.0,1986-03-21,1979-01-01,49.0852,16.1479
Czech Republic,Europe,Eastern Europe,Southeast,Dukovany nuclear power plant,3,operating,pressurized water reactor,VVER V-213,500.0,0.9,3.942,1986.0,2037.0,1986-12-20,1979-03-01,49.0852,16.1479
Czech Republic,Europe,Eastern Europe,Southeast,Dukovany nuclear power plant,4,operating,pressurized water reactor,VVER V-213,500.0,0.9,3.942,1987.0,2037.0,1987-07-19,1979-03-01,49.0852,16.1479
Czech Republic,Europe,Eastern Europe,Southeast,Dukovany nuclear power plant,5,pre-construction,pressurized water reactor,AP-1000,1200.0,0.85,8.9352,2036.0,,2036,2029,49.0852,16.1479
Czech Republic,Europe,Eastern Europe,Southeast,Dukovany nuclear power plant,6,announced,unknown,unknown,1200.0,0.85,8.9352,,,,,49.0852,16.1479
Czech Republic,Europe,Eastern Europe,Southwest,Temelin nuclear power plant,1,operating,pressurized water reactor,VVER V-320,1082.0,0.9,8.530488,2002.0,,2002-06-10,1987-02-01,49.1796,14.3795
Czech Republic,Europe,Eastern Europe,Southwest,Temelin nuclear power plant,2,operating,pressurized water reactor,VVER V-320,1082.0,0.9,8.530488,2003.0,,2003-04-18,1987-02-01,49.1796,14.3795
Czech Republic,Europe,Eastern Europe,Southwest,Temelin nuclear power plant,3,pre-construction,pressurized water reactor,APR-1000,1200.0,0.85,8.9352,,,,,49.1796,14.3795
Czech Republic,Europe,Eastern Europe,Southwest,Temelin nuclear power plant,4,pre-construction,pressurized water reactor,APR-1000,1200.0,0.85,8.9352,,,,,49.1796,14.3795
Czech Republic,Europe,Eastern Europe,Southwest,Temelin nuclear power plant,Original 3,cancelled,pressurized water reactor,VVER V-320,1000.0,0.85,7.446,,,,1987,49.1796,14.3795
Czech Republic,Europe,Eastern Europe,Southwest,Temelin nuclear power plant,Original 4,cancelled,pressurized water reactor,VVER V-320,1000.0,0.85,7.446,,,,1987,49.1796,14.3795
Czech Republic,Europe,Eastern Europe,,Temelin nuclear power plant,SMR,announced,small modular reactor,unknown,300.0,0.85,2.2338,2035.0,,2035,,49.1762884,14.3776989
Czech Republic,Europe,Eastern Europe,,Tušimice nuclear power plant,--,announced,small modular reactor,unknown,300.0,0.85,2.2338,,,,,50.3809498,13.3347381
Egypt,Africa,Northern Africa,Matruh,El Dabaa nuclear power plant,1,construction,pressurized water reactor,VVER-1200,1200.0,0.85,8.9352,2026.0,,2026,2022-07-20,31.0442,28.4978
Egypt,Africa,Northern Africa,Matruh,El Dabaa nuclear power plant,2,construction,pressurized water reactor,VVER-1200,1200.0,0.85,8.9352,2029.0,,2029,2022-11-19,31.0442,28.4978
Egypt,Africa,Northern Africa,Matruh,El Dabaa nuclear power plant,3,construction,pressurized water reactor,VVER-1200,1200.0,0.85,8.9352,2029.0,,2029,2023-05-03,31.0442,28.4978
Egypt,Africa,Northern Africa,Matruh,El Dabaa nuclear power plant,4,construction,pressurized water reactor,VVER-1200/V-529,1200.0,0.85,8.9352,2029.0,,2029,2024-01-23,31.0442,28.4978
Estonia,Europe,Northern Europe,,Fermi Energia nuclear power plant,1,announced,boiling water reactor,BWRX-300,300.0,0.85,2.2338,,,,,59.401481,27.117135
Estonia,Europe,Northern Europe,,Fermi Energia nuclear power plant,2,announced,boiling water reactor,BWRX-300,300.0,0.85,2.2338,,,,,59.401481,27.117135
Finland,Europe,Northern Europe,,Hanhikivi nuclear power plant,1,cancelled,unknown,unknown,1170.0,0.85,8.71182,,,,,64.5301,24.25801
Finland,Europe,Northern Europe,,Loviisa nuclear power plant,1,operating,pressurized water reactor,VVER V-213,531.0,0.9,4.186404,1977.0,2050.0,1977-05-09,1971-05-01,60.3708,26.3468
Finland,Europe,Northern Europe,,Loviisa nuclear power plant,2,operating,pressurized water reactor,VVER V-213,531.0,0.9,4.186404,1981.0,2050.0,1981-01-05,1972-08-01,60.3708,26.3468
Finland,Europe,Northern Europe,,Loviisa nuclear power plant,3,cancelled,unknown,unknown,1800.0,0.85,13.4028,,,,,60.3708,26.3468
Finland,Europe,Northern Europe,,Olkiluoto nuclear power plant,1,operating,boiling water reactor,"AA-III, BWR-2500",920.0,0.9,7.25328,1979.0,,1979-10-10,1974-02-01,61.2371,21.4433
Finland,Europe,Northern Europe,,Olkiluoto nuclear power plant,2,operating,boiling water reactor,"AA-III, BWR-2500",920.0,0.9,7.25328,1982.0,,1982-07-10,1975-11-01,61.2371,21.4433
Finland,Europe,Northern Europe,,Olkiluoto nuclear power plant,3,operating,pressurized water reactor,EPR,1720.0,0.9,13.56048,2022.0,,2022,2005-08-12,61.2356,21.4372
Finland,Europe,Northern Europe,,Olkiluoto nuclear power plant,4,cancelled,unknown,unknown,1830.0,0.85,13.62618,,,,,61.2371,21.4433
France,Europe,Western Europe,Bourgogne-Franche-Comté,Belleville nuclear power plant,1,operating,pressurized water reactor,P4 REP 1300,1363.0,0.9,10.745892,1988.0,,1988-06-01,1980-05-01,47.5103,2.87501
France,Europe,Western Europe,Bourgogne-Franche-Comté,Belleville nuclear power plant,2,operating,pressurized water reactor,P4 REP 1300,1363.0,0.9,10.745892,1989.0,,1989-01-01,1980-08-01,47.5103,2.87501
France,Europe,Western Europe,Nouvelle-Aquitaine,Blayais nuclear power plant,1,operating,pressurized water reactor,CP1,951.0,0.9,7.497684,1981.0,,1981-12-01,1977-01-01,45.256,-0.6932
France,Europe,Western Europe,Nouvelle-Aquitaine,Blayais nuclear power plant,2,operating,pressurized water reactor,CP1,951.0,0.9,7.497684,1983.0,,1983-02-01,1977-01-01,45.256,-0.6932
France,Europe,Western Europe,Nouvelle-Aquitaine,Blayais nuclear power plant,3,operating,pressurized water reactor,CP1,951.0,0.9,7.497684,1983.0,,1983-11-14,1978-04-01,45.256,-0.6932
France,Europe,Western Europe,Nouvelle-Aquitaine,Blayais nuclear power plant,4,operating,pressurized water reactor,CP1,951.0,0.9,7.497684,1983.0,,1983-10-01,1978-04-01,45.256,-0.6932
France,Europe,Western Europe,Brittany,Brennilis nuclear power plant,--,retired,heavy water gas-cooled reactor,MONTS-D'ARREE,75.0,0.85,0.55845,1968.0,1985.0,1968-06-01,1962-07-01,48.3551,-3.8719
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,1,retired,gas-cooled reactor,Uranium Naturel Graphite Gaz,555.0,0.85,4.13253,1972.0,1994.0,1972-07-01,1965-12-01,45.7973,5.2706
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,2,operating,pressurized water reactor,CP0,945.0,0.9,7.45038,1979.0,,1979-03-01,1972-11-01,45.7973,5.2706
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,3,operating,pressurized water reactor,CP0,945.0,0.9,7.45038,1979.0,,1979-03-01,1973-09-01,45.7973,5.2706
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,4,operating,pressurized water reactor,CP0,917.0,0.9,7.229628,1979.0,,1979-07-01,1974-06-01,45.7973,5.2706
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,5,operating,pressurized water reactor,CP0,917.0,0.9,7.229628,1980.0,,1980-01-03,1974-07-01,45.7973,5.2706
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,6,announced,pressurized water reactor,EPR2,1650.0,0.85,12.2859,,,,,45.7973,5.2706
France,Europe,Western Europe,Auvergne-Rhône-Alpes,Bugey nuclear power plant,7,announced,pressurized water reactor,EPR2,1650.0,0.85,12.2859,,,,,45.7973,5.2706
France,Europe,Western Europe,Grand Est,Cattenom nuclear power plant,1,operating,pressurized water reactor,P4 REP 1300,1362.0,0.9,10.738008,1987.0,,1987-04-01,1979-10-29,49.416,6.2169
France,Europe,Western Europe,Grand Est,Cattenom nuclear power plant,2,operating,pressurized water reactor,P4 REP 1300,1362.0,0.9,10.738008,1988.0,,1988-02-01,1980-07-28,49.416,6.2169
France,Europe,Western Europe,Grand Est,Cattenom nuclear power plant,3,operating,pressurized water reactor,P4 REP 1300,1362.0,0.9,10.738008,1991.0,,1991-02-01,1982-06-15,49.416,6.2169
France,Europe,Western Europe,Grand Est,Cattenom nuclear power plant,4,operating,pressurized water reactor,P4 REP 1300,1362.0,0.9,10.738008,1992.0,,1992-01-01,1983-09-28,49.416,6.2169
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,A-1,retired,gas-cooled reactor,Uranium Naturel Graphite Gaz,80.0,0.85,0.59568,1964.0,1973.0,1964-02-01,1957-02-01,47.2254,0.1656
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,A-2,retired,gas-cooled reactor,Uranium Naturel Graphite Gaz,230.0,0.85,1.71258,1965.0,1985.0,1965-02-24,1959-08-01,47.2254,0.1656
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,A-3,retired,gas-cooled reactor,Uranium Naturel Graphite Gaz,480.0,0.85,3.57408,1966.0,1990.0,1966-08-04,1961-03-01,47.2254,0.1656
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,B-1,operating,pressurized water reactor,CP2,954.0,0.9,7.521336,1984.0,,1984-02-01,1977-03-01,47.2254,0.1656
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,B-2,operating,pressurized water reactor,CP2,954.0,0.9,7.521336,1984.0,,1984-08-01,1977-03-01,47.2254,0.1656
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,B-3,operating,pressurized water reactor,CP2,954.0,0.9,7.521336,1987.0,,1987-03-04,1980-10-01,47.2254,0.1656
France,Europe,Western Europe,Centre-Val de Loire,Chinon nuclear power plant,B-4,operating,pressurized water reactor,CP2,954.0,0.9,7.521336,1988.0,,1988-04-01,1981-02-01,47.2254,0.1656
France,Europe,Western Europe,Grand Est,Chooz nuclear power plant,A,retired,pressurized water reactor,CHOOZ-A,320.0,0.85,2.38272,1967.0,1991.0,1967-04-15,1962-01-01,50.0901,4.7872
France,Europe,Western Europe,Grand Est,Chooz nuclear power plant,B-1,operating,pressurized water reactor,N4 REP 1450,1560.0,0.9,12.29904,2000.0,,2000-05-15,1984-01-01,50.0901,4.7872
