region,operating_generation_twh,pipeline_generation_twh,total_generation_twh,pipeline_percentage,operating_units,pipeline_units
Asia,838.8181800000001,585.2109240000001,1424.0291040000002,41.095432836041255,114,83
Europe,330.5840040000001,485.4792,816.063204,59.490392119186886,39,72
Americas,134.958312,127.66167000000002,262.61998200000005,48.61079839690187,17,90
Africa,0.0,80.4168,80.4168,100.0,0,10
